               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.042351,             0.11039,           0.0004287,             0.95328,             0.96715,             0.95075,             0.37817,            0.037886,            0.031864,          0.00034011,            0.006238,            0.006238,            0.006238
                  78,            0.042609,             0.10519,          0.00043431,             0.95959,             0.96696,             0.94759,             0.36818,            0.038057,            0.031804,          0.00033876,           0.0061885,           0.0061885,           0.0061885
                  79,            0.042292,             0.10716,          0.00043417,             0.97219,             0.97788,             0.96862,              0.4033,            0.037356,            0.031836,          0.00032246,            0.006139,            0.006139,            0.006139
                  80,            0.040176,             0.10334,          0.00044632,              0.9683,             0.97413,             0.96249,             0.39977,            0.037144,            0.031417,          0.00031989,           0.0060895,           0.0060895,           0.0060895
                  81,            0.039911,             0.10305,          0.00039507,             0.96173,             0.97185,             0.95633,              0.4059,            0.036563,            0.031284,          0.00029904,             0.00604,             0.00604,             0.00604
                  82,            0.041721,             0.10862,          0.00042936,             0.96283,             0.97242,             0.95828,             0.38228,            0.037815,            0.031748,          0.00032116,           0.0059905,           0.0059905,           0.0059905
                  83,            0.041607,             0.10543,          0.00040439,             0.96437,             0.97156,             0.95907,             0.38441,            0.037522,            0.031633,          0.00029866,            0.005941,            0.005941,            0.005941
                  84,            0.039759,             0.10077,          0.00040259,              0.9576,             0.96352,             0.94911,             0.36326,            0.037712,            0.031465,          0.00028246,           0.0058915,           0.0058915,           0.0058915
                  85,            0.041378,             0.10544,          0.00038369,             0.96966,             0.97321,             0.95628,             0.41197,            0.036134,            0.031248,          0.00028698,            0.005842,            0.005842,            0.005842
                  86,             0.04102,             0.10503,          0.00038605,             0.96597,             0.97156,             0.95989,             0.38301,            0.038097,            0.031504,          0.00027892,           0.0057925,           0.0057925,           0.0057925
                  87,            0.042128,             0.10426,          0.00035476,             0.97288,             0.97817,              0.9674,             0.40539,            0.036715,            0.031451,          0.00028632,            0.005743,            0.005743,            0.005743
                  88,            0.041936,             0.10297,          0.00041664,             0.95648,             0.97232,             0.95074,             0.40136,            0.036362,            0.031347,          0.00029226,           0.0056935,           0.0056935,           0.0056935
                  89,            0.040778,            0.099902,           0.0004071,             0.95572,             0.96722,             0.94685,             0.36627,            0.037888,            0.031401,           0.0002852,            0.005644,            0.005644,            0.005644
                  90,            0.039386,             0.10258,          0.00038406,             0.97393,             0.97673,             0.96809,             0.41906,            0.035986,            0.031256,          0.00029402,           0.0055945,           0.0055945,           0.0055945
                  91,            0.039669,            0.099434,          0.00038053,             0.97461,             0.97989,             0.97048,             0.41251,             0.03632,            0.031151,          0.00026494,            0.005545,            0.005545,            0.005545
                  92,            0.040879,             0.10219,          0.00034374,             0.96969,             0.97413,             0.96501,             0.38499,            0.037756,            0.031326,          0.00025364,           0.0054955,           0.0054955,           0.0054955
                  93,            0.039815,             0.10013,          0.00036225,             0.97585,             0.97932,             0.96786,             0.41228,            0.036314,            0.030963,          0.00025862,            0.005446,            0.005446,            0.005446
                  94,            0.040253,             0.10167,          0.00035769,             0.96901,             0.97443,             0.96116,             0.39806,            0.036247,            0.031172,          0.00026407,           0.0053965,           0.0053965,           0.0053965
                  95,            0.039866,             0.10126,          0.00031756,             0.95508,              0.9638,             0.94933,             0.35357,            0.039174,            0.031573,          0.00024825,            0.005347,            0.005347,            0.005347
                  96,            0.039899,             0.10427,          0.00032767,             0.97592,             0.98219,             0.97252,             0.41121,            0.035861,            0.030956,          0.00024193,           0.0052975,           0.0052975,           0.0052975
                  97,             0.04031,             0.10201,          0.00033083,             0.94747,             0.95857,              0.9391,             0.35515,             0.03831,            0.031555,          0.00022727,            0.005248,            0.005248,            0.005248
                  98,            0.040212,            0.098051,          0.00032648,             0.96762,             0.97271,             0.95971,             0.37575,            0.038025,            0.031484,          0.00022199,           0.0051985,           0.0051985,           0.0051985
                  99,            0.040685,             0.10701,          0.00030756,             0.97715,             0.97989,               0.968,             0.40929,            0.036234,            0.031052,          0.00023076,            0.005149,            0.005149,            0.005149
                 100,            0.039855,             0.10356,          0.00031138,             0.97283,             0.97732,              0.9652,             0.39506,            0.036895,            0.031001,          0.00022519,           0.0050995,           0.0050995,           0.0050995
                 101,            0.039747,             0.10097,          0.00029801,             0.97259,             0.97788,             0.96706,             0.39981,            0.036516,             0.03091,          0.00021801,             0.00505,             0.00505,             0.00505
                 102,            0.039036,             0.10149,          0.00029597,             0.97907,             0.98075,             0.97276,             0.40896,            0.036529,            0.031127,          0.00022323,           0.0050005,           0.0050005,           0.0050005
                 103,            0.040858,             0.10028,          0.00031361,              0.9698,             0.97443,              0.9648,              0.3821,            0.037133,            0.030963,          0.00022776,            0.004951,            0.004951,            0.004951
                 104,            0.039204,             0.10494,          0.00031018,             0.91156,             0.92089,             0.88406,             0.28816,             0.04138,            0.032085,          0.00022756,           0.0049015,           0.0049015,           0.0049015
                 105,            0.039912,             0.10461,          0.00031233,             0.97368,             0.97702,             0.97061,             0.39913,            0.037052,            0.031558,          0.00022419,            0.004852,            0.004852,            0.004852
                 106,            0.038686,             0.09951,          0.00029118,             0.97929,             0.98449,             0.97697,             0.42265,             0.03565,            0.030804,          0.00021547,           0.0048025,           0.0048025,           0.0048025
                 107,            0.040036,            0.098044,          0.00028144,             0.97483,             0.97925,             0.97088,             0.40924,            0.035891,            0.030776,          0.00021819,            0.004753,            0.004753,            0.004753
                 108,            0.038008,              0.1038,          0.00027449,             0.96684,             0.97153,             0.95838,             0.36712,            0.037069,            0.030914,          0.00021172,           0.0047035,           0.0047035,           0.0047035
                 109,            0.039375,             0.10399,          0.00031186,             0.97483,             0.97905,             0.96935,              0.4047,            0.035239,            0.030981,          0.00022388,            0.004654,            0.004654,            0.004654
                 110,            0.039679,             0.10227,          0.00026371,             0.97911,              0.9831,             0.97462,             0.41416,            0.036233,            0.031152,          0.00021301,           0.0046045,           0.0046045,           0.0046045
                 111,            0.039497,             0.10479,          0.00025256,             0.97633,             0.98133,             0.97346,             0.40352,            0.036623,            0.031085,          0.00021004,            0.004555,            0.004555,            0.004555
                 112,            0.039048,             0.10252,          0.00028574,             0.97286,             0.97841,             0.96667,             0.39038,            0.036905,             0.03102,          0.00021067,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03928,             0.11066,          0.00025149,             0.97821,             0.98248,             0.97458,             0.40481,            0.036739,            0.031033,          0.00019987,            0.004456,            0.004456,            0.004456
                 114,            0.039875,             0.10065,          0.00025512,             0.97651,             0.97932,              0.9708,             0.40899,            0.035895,            0.031142,          0.00020698,           0.0044065,           0.0044065,           0.0044065
                 115,            0.039586,            0.096525,          0.00027904,             0.97417,              0.9796,             0.97062,             0.39767,            0.036948,             0.03152,          0.00021108,            0.004357,            0.004357,            0.004357
                 116,            0.039334,             0.10258,          0.00025891,             0.97265,             0.97759,             0.96682,             0.40511,            0.036635,             0.03094,          0.00018954,           0.0043075,           0.0043075,           0.0043075
